Offer_ID,SKU,Product_Name,Offer_Type,Description,Offer_Price,Promo_Tag
OFF1066,SKU200299,Baby Carrots 1lb - Family Size,percentage_off,15% off — was $1.47,1.25,ROLLBACK
OFF1067,SKU100267,All-Purpose Cleaner Spray 32oz,multipack_deal,Buy 2 for $7.63,3.82,ROLLBACK
OFF1068,SKU200296,Vegetable Oil 48oz - Organic,clearance,Clearance — 20% off,4.7,CLEARANCE
OFF1069,SKU100218,Tomato Sauce 15oz,clearance,Clearance — 50% off,0.65,CLEARANCE
OFF1070,SKU200324,Oat Milk Original 64oz - Organic,multipack_deal,Buy 2 for $9.72,4.86,CLEARANCE
OFF1071,SKU100141,Ground Turkey 93/7 1lb,multipack_deal,Buy 2 for $9.33,4.67,ROLLBACK
OFF1072,SKU200270,Baby Formula Powder 20oz - Organic,flat_discount,Save $2.27 — was $22.69,20.42,MEMBER PRICE
OFF1073,SKU200183,Sunscreen SPF50 3oz - Family Size,buy_one_get_one,Buy 1 Get 1 50% off,10.27,ROLLBACK
OFF1074,SKU200314,Canned Black Beans 15oz - Low-Sodium,clearance,Clearance — 50% off,0.75,MEMBER PRICE
OFF1075,SKU200286,Non-stick Frying Pan 10in - Low-Sodium,multipack_deal,Buy 2 for $45.54,22.77,ROLLBACK
OFF1076,SKU100215,Chicken Noodle Soup 10.75oz,clearance,Clearance — 5% off,1.42,CLEARANCE
OFF1077,SKU100251,Antiperspirant Spray 4oz,flat_discount,Save $1.50 — was $4.99,3.49,ROLLBACK
OFF1078,SKU100226,Mac & Cheese 7.25oz,buy_one_get_one,Buy 1 Get 1 50% off,0.97,WEEKLY DEAL
OFF1079,SKU200175,Instant Oatmeal Variety 10-pack - Decaf,flat_discount,Save $1.66 — was $4.16,2.5,HOT BUY
OFF1080,SKU100195,Granola Bars Variety 18-count,buy_one_get_one,Buy 1 Get 1 50% off,6.74,ROLLBACK
