SKU,Product_Name,Brand,Category,Stock_Count,Price,Aisle,Section,Shelf
SKU100168,Ice Cream Vanilla 1.5qt,BreemerStyle,Ice Cream,95,5.49,E - Frozen Foods,E1,Bottom Shelf (1)
SKU100169,Ice Cream Chocolate 1.5qt,BreemerStyle,Ice Cream,91,5.49,E - Frozen Foods,E3,Lower-Middle Shelf (2)
SKU100170,Frozen Burritos 8-pack,ElMontereyStyle,Frozen Meals,32,6.49,E - Frozen Foods,E3,Top Shelf (4)
SKU100171,Frozen Stir Fry Vegetables 16oz,BirdsEyeFarm,Frozen Vegetables,5,2.99,E - Frozen Foods,E4,Upper-Middle Shelf (3)
SKU100172,Edamame Shelled 16oz,SeaBestFarm,Frozen Vegetables,20,3.49,E - Frozen Foods,E2,Upper-Middle Shelf (3)
SKU100173,Frozen French Fries 32oz,OreIdaStyle,Frozen Sides,14,4.49,E - Frozen Foods,E4,Bottom Shelf (1)
SKU100174,Purified Water 24-pack 16.9oz,AquaPure,Water,106,3.99,F - Beverages,F2,Bottom Shelf (1)
SKU100175,Sparkling Water 12-pack,LaCroixStyle,Sparkling Water,16,5.49,F - Beverages,F2,Top Shelf (4)
SKU100176,Cola Soda 12-pack 12oz,ColaKing,Soda,115,5.99,F - Beverages,F3,Bottom Shelf (1)
SKU100177,Diet Cola 12-pack 12oz,ColaKing,Soda,45,5.99,F - Beverages,F2,Bottom Shelf (1)
SKU100178,Lemon-Lime Soda 12-pack 12oz,CitrusPop,Soda,110,5.99,F - Beverages,F2,Lower-Middle Shelf (2)
SKU100179,Orange Juice 52oz,TropicOrange,Juice,3,4.49,F - Beverages,F2,Top Shelf (4)
SKU100180,Apple Juice 64oz,MottsStyle,Juice,102,3.99,F - Beverages,F3,Top Shelf (4)
SKU100181,Cranberry Juice Cocktail 64oz,OceanSpray,Juice,48,4.29,F - Beverages,F2,Bottom Shelf (1)
SKU100182,Whole Bean Coffee 12oz,StarbucksMix,Coffee,25,9.99,F - Beverages,F4,Lower-Middle Shelf (2)
SKU100183,Ground Coffee Medium Roast 30oz,FolgersMix,Coffee,28,8.49,F - Beverages,F3,Lower-Middle Shelf (2)
SKU100184,Black Tea Bags 100-count,LiptonStyle,Tea,42,4.49,F - Beverages,F2,Top Shelf (4)
SKU100185,Green Tea Bags 40-count,BigelowStyle,Tea,44,4.29,F - Beverages,F1,Upper-Middle Shelf (3)
SKU100186,Sports Drink Lemon 8-pack 20oz,GatorStyle,Sports Drinks,14,7.49,F - Beverages,F3,Bottom Shelf (1)
SKU100187,Energy Drink 4-pack 16oz,MonsterStyle,Energy Drinks,13,9.99,F - Beverages,F3,Bottom Shelf (1)
SKU100188,Coconut Water 1lt,VitaCoco,Coconut Water,77,3.49,F - Beverages,F3,Top Shelf (4)
SKU100189,Potato Chips Original 8oz,LayStyle,Chips,5,4.29,G - Snacks & Confectionery,G2,Upper-Middle Shelf (3)
SKU100190,Tortilla Chips 13oz,TostitoStyle,Chips,55,4.49,G - Snacks & Confectionery,G2,Upper-Middle Shelf (3)
SKU100191,Pretzels Twists 16oz,RoldsStyle,Pretzels,84,3.99,G - Snacks & Confectionery,G3,Upper-Middle Shelf (3)
SKU100192,Popcorn Butter 3-pack,OrvStyle,Popcorn,85,3.49,G - Snacks & Confectionery,G3,Upper-Middle Shelf (3)
SKU100193,Mixed Nuts 16oz,PlantFarm,Nuts,70,8.99,G - Snacks & Confectionery,G4,Upper-Middle Shelf (3)
SKU100194,Trail Mix 30oz,SunMaidFarm,Nuts,86,9.49,G - Snacks & Confectionery,G4,Top Shelf (4)
SKU100195,Granola Bars Variety 18-count,NatureValStyle,Bars,70,8.99,G - Snacks & Confectionery,G3,Top Shelf (4)
SKU100196,Rice Cakes 4.5oz,QuakerStyle,Rice Cakes,55,2.99,G - Snacks & Confectionery,G3,Lower-Middle Shelf (2)
SKU100197,Chocolate Chip Cookies 13oz,ChipsAhoyStyle,Cookies,86,4.49,G - Snacks & Confectionery,G4,Top Shelf (4)
SKU100198,Oreo Sandwich Cookies 14.3oz,OreoCo,Cookies,84,4.49,G - Snacks & Confectionery,G4,Lower-Middle Shelf (2)
SKU100199,Crackers Original 13.7oz,RitzStyle,Crackers,104,3.99,G - Snacks & Confectionery,G3,Bottom Shelf (1)
SKU100200,Graham Crackers 14.4oz,HoneyMaidStyle,Crackers,103,3.79,G - Snacks & Confectionery,G3,Lower-Middle Shelf (2)
SKU100201,Gummy Bears 5oz,HariboStyle,Candy,31,2.99,G - Snacks & Confectionery,G1,Bottom Shelf (1)
SKU100202,Milk Chocolate Bar 3.5oz,HersheyStyle,Candy,53,1.99,G - Snacks & Confectionery,G1,Top Shelf (4)
SKU100203,Sour Gummy Worms 5oz,TropiCandyCo,Candy,51,2.99,G - Snacks & Confectionery,G4,Top Shelf (4)
SKU100204,Corn Flakes 18oz,KellogStyle,Cereal,99,4.49,H - Breakfast & Cereal,H1,Bottom Shelf (1)
SKU100205,Frosted Flakes 19.2oz,KellogStyle,Cereal,6,4.79,H - Breakfast & Cereal,H2,Top Shelf (4)
SKU100206,Oat Circles 12oz,CheerioStyle,Cereal,17,4.29,H - Breakfast & Cereal,H1,Top Shelf (4)
SKU100207,Raisin Bran 20oz,KellogStyle,Cereal,78,4.49,H - Breakfast & Cereal,H3,Top Shelf (4)
SKU100208,Granola Oats & Honey 16oz,NatureValStyle,Granola,95,5.49,H - Breakfast & Cereal,H4,Lower-Middle Shelf (2)
SKU100209,Quick Oats 42oz,QuakerStyle,Oatmeal,107,5.29,H - Breakfast & Cereal,H3,Lower-Middle Shelf (2)
SKU100210,Instant Oatmeal Variety 10-pack,QuakerStyle,Oatmeal,35,4.99,H - Breakfast & Cereal,H4,Lower-Middle Shelf (2)
SKU100211,Pancake Mix 32oz,AuntJemimaStyle,Pancake Mix,34,4.29,H - Breakfast & Cereal,H3,Lower-Middle Shelf (2)
SKU100212,Maple Syrup 24oz,MapleFarms,Syrup,19,6.99,H - Breakfast & Cereal,H1,Lower-Middle Shelf (2)
SKU100213,Peanut Butter Creamy 28oz,JiffStyle,Nut Butter,8,4.99,H - Breakfast & Cereal,H2,Lower-Middle Shelf (2)
SKU100214,Strawberry Jam 18oz,SmuckerStyle,Jam,53,3.49,H - Breakfast & Cereal,H3,Top Shelf (4)
SKU100215,Chicken Noodle Soup 10.75oz,CampbellStyle,Soup,115,1.49,I - Canned & Packaged Goods,I4,Top Shelf (4)
SKU100216,Tomato Soup 10.75oz,CampbellStyle,Soup,0,1.49,I - Canned & Packaged Goods,I4,Top Shelf (4)
SKU100217,Diced Tomatoes 14.5oz,HuntStyle,Canned Tomatoes,68,1.29,I - Canned & Packaged Goods,I4,Top Shelf (4)
SKU100218,Tomato Sauce 15oz,HuntStyle,Canned Tomatoes,55,1.29,I - Canned & Packaged Goods,I2,Upper-Middle Shelf (3)
SKU100219,Canned Black Beans 15oz,BushStyle,Canned Beans,85,1.19,I - Canned & Packaged Goods,I4,Upper-Middle Shelf (3)
SKU100220,Canned Chickpeas 15oz,BushStyle,Canned Beans,117,1.19,I - Canned & Packaged Goods,I2,Top Shelf (4)
SKU100221,Canned Tuna in Water 5oz,BumbleBeeStyle,Canned Fish,75,1.49,I - Canned & Packaged Goods,I1,Top Shelf (4)
SKU100222,Canned Salmon 14.75oz,BumbleBeeStyle,Canned Fish,110,4.49,I - Canned & Packaged Goods,I4,Lower-Middle Shelf (2)
SKU100223,White Rice Long Grain 5lb,MaisenaStyle,Rice,48,5.49,I - Canned & Packaged Goods,I1,Upper-Middle Shelf (3)
SKU100224,Pasta Spaghetti 16oz,BarillaStyle,Pasta,43,1.99,I - Canned & Packaged Goods,I4,Upper-Middle Shelf (3)
SKU100225,Pasta Penne 16oz,BarillaStyle,Pasta,106,1.99,I - Canned & Packaged Goods,I4,Upper-Middle Shelf (3)
SKU100226,Mac & Cheese 7.25oz,KraftStyle,Mac Cheese,44,1.29,I - Canned & Packaged Goods,I1,Bottom Shelf (1)
SKU100227,Vegetable Broth 32oz,SwansonStyle,Broth,96,2.49,I - Canned & Packaged Goods,I1,Bottom Shelf (1)
SKU100228,Chicken Broth 32oz,SwansonStyle,Broth,79,2.49,I - Canned & Packaged Goods,I2,Bottom Shelf (1)
SKU100229,Corn 15.25oz,DelMonte,Canned Vegetables,85,1.19,I - Canned & Packaged Goods,I2,Top Shelf (4)
SKU100230,Ketchup 32oz,HeinzStyle,Ketchup,89,3.49,J - Condiments & Sauces,J2,Top Shelf (4)
SKU100231,Yellow Mustard 20oz,FrenchStyle,Mustard,77,2.49,J - Condiments & Sauces,J3,Lower-Middle Shelf (2)
SKU100232,Mayonnaise 30oz,HellmStyle,Mayonnaise,13,5.49,J - Condiments & Sauces,J2,Upper-Middle Shelf (3)
SKU100233,BBQ Sauce Original 18oz,KC MasterStyle,BBQ Sauce,50,2.99,J - Condiments & Sauces,J3,Top Shelf (4)
SKU100234,Hot Sauce 12oz,TabascoStyle,Hot Sauce,89,3.49,J - Condiments & Sauces,J2,Bottom Shelf (1)
SKU100235,Soy Sauce 10oz,KikkoStyle,Asian Sauces,44,2.99,J - Condiments & Sauces,J1,Bottom Shelf (1)
SKU100236,Salsa Medium 24oz,PaceStyle,Salsa,64,3.49,J - Condiments & Sauces,J3,Bottom Shelf (1)
SKU100237,Ranch Dressing 16oz,HiddenValStyle,Dressing,13,3.99,J - Condiments & Sauces,J4,Top Shelf (4)
SKU100238,Italian Dressing 16oz,KraftStyle,Dressing,55,2.99,J - Condiments & Sauces,J4,Lower-Middle Shelf (2)
SKU100239,Olive Oil Extra Virgin 16.9oz,BertolliStyle,Oil,59,7.99,J - Condiments & Sauces,J3,Top Shelf (4)
SKU100240,Vegetable Oil 48oz,CriscoStyle,Oil,109,4.99,J - Condiments & Sauces,J3,Upper-Middle Shelf (3)
SKU100241,White Vinegar 32oz,HeinzStyle,Vinegar,112,2.29,J - Condiments & Sauces,J1,Upper-Middle Shelf (3)
SKU100242,Apple Cider Vinegar 32oz,BraggsStyle,Vinegar,43,4.99,J - Condiments & Sauces,J4,Top Shelf (4)
SKU100243,Shampoo Moisturizing 12oz,DoveHair,Hair Care,62,5.99,K - Health & Beauty,K3,Lower-Middle Shelf (2)
SKU100244,Conditioner Strengthening 12oz,DoveHair,Hair Care,35,5.99,K - Health & Beauty,K3,Upper-Middle Shelf (3)
SKU100245,Body Wash Lavender 18oz,DoveSkin,Body Wash,10,6.49,K - Health & Beauty,K1,Lower-Middle Shelf (2)
SKU100246,Bar Soap 6-pack 3.75oz,DoveSkin,Bar Soap,71,6.99,K - Health & Beauty,K4,Top Shelf (4)
SKU100247,Toothpaste Whitening 4oz,CrestStyle,Oral Care,57,3.99,K - Health & Beauty,K4,Top Shelf (4)
SKU100248,Toothbrush Soft (2-pack),OralBStyle,Oral Care,51,5.99,K - Health & Beauty,K3,Lower-Middle Shelf (2)
SKU100249,Mouthwash Fresh 1lt,ListerStyle,Oral Care,70,5.49,K - Health & Beauty,K3,Top Shelf (4)
SKU100250,Deodorant Stick 2.6oz,DoveBody,Deodorant,89,4.49,K - Health & Beauty,K3,Upper-Middle Shelf (3)
SKU100251,Antiperspirant Spray 4oz,DoveBody,Deodorant,29,4.99,K - Health & Beauty,K3,Upper-Middle Shelf (3)
SKU100252,Facial Moisturizer SPF30 1.7oz,CeraVeStyle,Skin Care,15,14.99,K - Health & Beauty,K2,Upper-Middle Shelf (3)
SKU100253,Sunscreen SPF50 3oz,NeutStyle,Skin Care,35,9.99,K - Health & Beauty,K2,Top Shelf (4)
SKU100254,Hand Lotion 7oz,CeraVeStyle,Skin Care,29,7.49,K - Health & Beauty,K2,Upper-Middle Shelf (3)
SKU100255,Razors 4-count,GilletStyle,Shaving,90,9.99,K - Health & Beauty,K3,Bottom Shelf (1)
SKU100256,Shaving Cream 7oz,BarbasStyle,Shaving,70,3.49,K - Health & Beauty,K1,Bottom Shelf (1)
SKU100257,Feminine Pads Regular 36-count,AlwaysStyle,Feminine Care,13,8.49,K - Health & Beauty,K2,Top Shelf (4)
SKU100258,Tampons Regular 36-count,TampaxStyle,Feminine Care,61,8.99,K - Health & Beauty,K3,Top Shelf (4)
SKU100259,Diapers Size 3 60-count,PampersStyle,Diapers,32,24.99,L - Baby & Toddler,L2,Bottom Shelf (1)
SKU100260,Diapers Size 4 52-count,PampersStyle,Diapers,62,24.99,L - Baby & Toddler,L1,Top Shelf (4)
SKU100261,Baby Wipes 72-count,WipesPlus,Baby Wipes,19,3.99,L - Baby & Toddler,L1,Lower-Middle Shelf (2)
SKU100262,Baby Shampoo 13oz,JohnsonStyle,Baby Care,71,5.49,L - Baby & Toddler,L2,Bottom Shelf (1)
SKU100263,Baby Lotion 8oz,JohnsonStyle,Baby Care,57,5.49,L - Baby & Toddler,L2,Top Shelf (4)
SKU100264,Baby Formula Powder 20oz,SimiStyle,Baby Formula,72,19.99,L - Baby & Toddler,L4,Upper-Middle Shelf (3)
SKU100265,Baby Food Stage 2 4oz (6-pack),GerberStyle,Baby Food,80,7.99,L - Baby & Toddler,L1,Lower-Middle Shelf (2)
SKU100266,Toddler Snack Puffs 1.48oz,GerberStyle,Toddler Snacks,30,2.79,L - Baby & Toddler,L1,Lower-Middle Shelf (2)
SKU100267,All-Purpose Cleaner Spray 32oz,LysolStyle,Surface Cleaners,0,4.49,M - Household Cleaning,M1,Lower-Middle Shelf (2)
SKU100268,Disinfecting Wipes 75-count,LysolStyle,Surface Cleaners,4,5.49,M - Household Cleaning,M4,Upper-Middle Shelf (3)
SKU100269,Glass Cleaner 26oz,WindowexStyle,Glass Cleaners,9,3.49,M - Household Cleaning,M3,Top Shelf (4)
SKU100270,Dish Soap 24oz,DawnStyle,Dish Care,54,4.49,M - Household Cleaning,M3,Lower-Middle Shelf (2)
SKU100271,Dishwasher Pods 30-count,CascadeStyle,Dish Care,116,8.99,M - Household Cleaning,M2,Lower-Middle Shelf (2)
SKU100272,Bathroom Cleaner 32oz,LysolStyle,Bathroom,7,3.99,M - Household Cleaning,M2,Bottom Shelf (1)
SKU100273,Mold & Mildew Remover 32oz,TileXStyle,Bathroom,56,4.49,M - Household Cleaning,M3,Upper-Middle Shelf (3)
SKU100274,Sponges 6-pack,ScotchStyle,Cleaning Tools,120,3.49,M - Household Cleaning,M3,Top Shelf (4)
SKU100275,Rubber Gloves M (pair),PlaytexStyle,Cleaning Tools,10,3.99,M - Household Cleaning,M4,Top Shelf (4)
SKU100276,Trash Bags 13gal 40-count,GladStyle,Trash Bags,77,8.49,M - Household Cleaning,M4,Upper-Middle Shelf (3)
SKU100277,Trash Bags 33gal 20-count,GladStyle,Trash Bags,86,7.99,M - Household Cleaning,M1,Lower-Middle Shelf (2)
SKU100278,Liquid Laundry Detergent 92oz,TideStyle,Laundry Detergent,97,12.99,N - Laundry,N3,Bottom Shelf (1)
SKU100279,Laundry Pods 42-count,TideStyle,Laundry Detergent,23,14.99,N - Laundry,N4,Upper-Middle Shelf (3)
SKU100280,Fabric Softener 51oz,DownyStyle,Fabric Softener,60,7.99,N - Laundry,N4,Bottom Shelf (1)
SKU100281,Dryer Sheets 105-count,BounceStyle,Fabric Softener,85,6.49,N - Laundry,N3,Upper-Middle Shelf (3)
SKU100282,Stain Remover Spray 22oz,ShoutStyle,Stain Remover,52,4.49,N - Laundry,N2,Upper-Middle Shelf (3)
SKU100283,Color-Safe Bleach 64oz,CloroxStyle,Bleach,58,5.99,N - Laundry,N4,Bottom Shelf (1)
SKU100284,Paper Towels Double Roll 6-pack,BountyStyle,Paper Towels,14,11.99,O - Paper & Disposables,O3,Upper-Middle Shelf (3)
SKU100285,Toilet Paper 12 Double Rolls,CharmStyle,Toilet Paper,52,10.99,O - Paper & Disposables,O1,Top Shelf (4)
SKU100286,Facial Tissues 3-box pack,KleenStyle,Facial Tissues,80,5.99,O - Paper & Disposables,O3,Top Shelf (4)
SKU100287,Paper Plates 8.5in 50-count,ChenetStyle,Disposables,34,3.99,O - Paper & Disposables,O1,Lower-Middle Shelf (2)
SKU100288,Plastic Cups 16oz 50-count,SoloStyle,Disposables,112,5.49,O - Paper & Disposables,O3,Top Shelf (4)
SKU100289,Aluminum Foil 75sqft,ReyStyle,Wraps,90,4.49,O - Paper & Disposables,O1,Lower-Middle Shelf (2)
SKU100290,Plastic Wrap 200sqft,GladStyle,Wraps,11,3.99,O - Paper & Disposables,O1,Top Shelf (4)
SKU100291,Quart Zip Bags 40-count,ZiplocStyle,Bags,15,3.49,O - Paper & Disposables,O1,Top Shelf (4)
SKU100292,Gallon Zip Bags 30-count,ZiplocStyle,Bags,53,3.99,O - Paper & Disposables,O3,Upper-Middle Shelf (3)
SKU100293,AA Batteries 20-pack,DuracellStyle,Batteries,70,12.99,P - Electronics & Accessories,P2,Top Shelf (4)
SKU100294,AAA Batteries 20-pack,DuracellStyle,Batteries,110,12.99,P - Electronics & Accessories,P2,Lower-Middle Shelf (2)
SKU100295,USB-C Charging Cable 6ft,AmazonBasics,Phone Accessories,119,9.99,P - Electronics & Accessories,P4,Upper-Middle Shelf (3)
SKU100296,Lightning Cable 6ft,AmazonBasics,Phone Accessories,92,9.99,P - Electronics & Accessories,P1,Upper-Middle Shelf (3)
SKU100297,Phone Case Universal Slim,UrbanArmor,Phone Accessories,57,14.99,P - Electronics & Accessories,P4,Lower-Middle Shelf (2)
SKU100298,Earbuds Wired 3.5mm,TechPlug,Audio,58,9.99,P - Electronics & Accessories,P3,Top Shelf (4)
SKU100299,Bluetooth Speaker Portable,JBLBasic,Audio,73,29.99,P - Electronics & Accessories,P2,Lower-Middle Shelf (2)
SKU100300,HDMI Cable 6ft,AmazonBasics,Cables,40,7.99,P - Electronics & Accessories,P4,Bottom Shelf (1)
SKU100301,Power Strip 6-outlet,BelkinStyle,Power,84,14.99,P - Electronics & Accessories,P4,Top Shelf (4)
SKU100302,LED Light Bulbs A19 4-pack,GEStyle,Light Bulbs,64,8.99,P - Electronics & Accessories,P1,Lower-Middle Shelf (2)
SKU100303,Extension Cord 6ft 3-outlet,ClearStyle,Power,12,8.99,P - Electronics & Accessories,P1,Top Shelf (4)
SKU100304,Screen Cleaner Kit,TechClean,Electronics Accessories,111,6.99,P - Electronics & Accessories,P2,Top Shelf (4)
SKU100305,LEGO Classic 200-piece set,LEGO,Building Toys,43,19.99,Q - Toys & Games,Q4,Upper-Middle Shelf (3)
SKU100306,Playing Cards Standard Deck,BicycleBrand,Card Games,109,3.99,Q - Toys & Games,Q1,Upper-Middle Shelf (3)
SKU100307,Crayons 64-count,CrayolaStyle,Art Supplies,79,7.49,Q - Toys & Games,Q4,Bottom Shelf (1)
SKU100308,Watercolor Paint Set,CrayolaStyle,Art Supplies,95,8.99,Q - Toys & Games,Q3,Lower-Middle Shelf (2)
SKU100309,Puzzle 500-piece,RavenStyle,Puzzles,56,12.99,Q - Toys & Games,Q1,Bottom Shelf (1)
